gss code,borough,year,population,births,deaths,int in,int out,int net,dom in,dom out,dom net,adjustment,total change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London (total),2011,8204407,133440,46929,224007,120990,103017,,,-40352,-6272,142904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London (total),2012,8308833,134037,47572,202399,133218,69181,,,-51698,437,104385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London (total),2013,8417460,131011,48078,175966,96147,79819,,,-55027,902,108627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London (total),2014,8539398,127807,45449,205688,98281,107407,,,-68634,809,121940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London (total),2015,8666930,128520,50151,217656,91266,126390,,,-77534,307,127532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London (total),2016,8769659,129847,48513,213026,98801,114225,,,-93302,472,102729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London (total),2017,8825001,127359,48836,193503,110015,83488,,,-106608,-61,55342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London (total),2018,8908081,123594,50420,206201,93408,112793,,,-103230,343,83080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London (total),2019,8961989,119086,48560,196841,119432,77409,,,-93992,-36,53907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London (total),2020,9002488,115735,58812,205073,120528,84545,,,-101381,412,40499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London (total),2021,8915981,110975,59337,64000,73000,-9000,,,-129145,0,-86508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London (total),2022,9008268,107550,48829,149623,79623,70000,,,-36434,0,92287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London (total),2023,9083272,107646,49616,167785,89288,78497,,,-61522,0,75004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
