gss_code,borough,sex,age,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,,,,,,,,,
E12000007,London (total),female,0,65755,63743,61847,60294,60377,61065,60501,58753,56450,55083,52817,51901,51762,51679,51524,51512,51591,51788,52124,52570,53051,53589,54198,54864,55557,56226,56861,57459,57984,58369,58629,,,,,,,,,
E12000007,London (total),female,1,61358,62277,62060,59942,58204,57834,58995,58402,57668,55010,53301,52089,50858,50415,50055,49949,49973,50078,50290,50580,50983,51430,51936,52514,53103,53727,54339,54928,55488,55988,56356,,,,,,,,,
E12000007,London (total),female,2,59076,60083,60517,60086,57871,56002,56326,57348,56894,54858,53438,52669,51160,49685,49000,48696,48625,48673,48795,48969,49224,49597,50017,50497,51008,51537,52110,52679,53232,53767,54247,,,,,,,,,
E12000007,London (total),female,3,58483,57880,58525,59174,58169,55444,54868,55399,55301,54318,53388,52835,51771,50031,48372,47750,47486,47440,47505,47595,47741,47974,48324,48722,49145,49604,50091,50626,51163,51694,52209,,,,,,,,,
E12000007,London (total),female,4,54473,57605,56672,57924,58046,56628,55016,54344,54376,53691,53128,52977,52176,50900,49009,47442,46866,46631,46602,46642,46711,46841,47058,47392,47743,48125,48549,49006,49514,50032,50546,,,,,,,,,
E12000007,London (total),female,5,51164,53435,55921,55481,56443,56437,56249,54645,52398,52451,52416,52449,52051,51042,49581,47764,46261,45716,45501,45453,45477,45534,45654,45861,46158,46478,46834,47236,47674,48167,48672,,,,,,,,,
E12000007,London (total),female,6,49347,51028,53327,55905,55318,55804,55908,55827,53995,51426,51755,52343,52224,51693,50584,49170,47411,45961,45440,45214,45154,45168,45219,45332,45510,45782,46080,46418,46805,47232,47714,,,,,,,,,
E12000007,London (total),female,7,47982,49134,50826,53176,55625,54798,55138,55480,55129,53097,50780,51675,52113,51863,51216,50149,48771,47065,45660,45136,44903,44836,44845,44891,44979,45135,45387,45669,45993,46371,46787,,,,,,,,,
E12000007,London (total),female,8,46477,47833,48872,50691,52880,55124,54173,54714,54738,54001,52424,50684,51426,51729,51360,50738,49706,48363,46702,45315,44790,44555,44483,44488,44511,44580,44721,44957,45228,45543,45912,,,,,,,,,
E12000007,London (total),female,9,43803,46486,47803,48883,50506,52429,54499,53895,54158,53860,53363,52338,50488,51098,51293,50946,50343,49341,48024,46381,45013,44493,44259,44185,44169,44176,44231,44360,44586,44849,45158,,,,,,,,,
E12000007,London (total),female,10,43339,43846,46483,47848,48872,50149,52030,54242,53431,53331,53201,53237,52085,50143,50631,50843,50512,49925,48949,47634,46010,44665,44151,43918,43827,43796,43791,43837,43958,44178,44435,,,,,,,,,
E12000007,London (total),female,11,44589,43387,43947,46659,47915,48815,49860,51731,53698,53030,52848,53165,53084,51838,49840,50330,50554,50234,49659,48684,47374,45773,44451,43944,43698,43593,43553,43540,43580,43697,43912,,,,,,,,,
E12000007,London (total),female,12,44397,44548,43307,43971,46619,47825,48588,49620,51148,53192,52506,52779,52963,52765,51436,49496,49985,50218,49908,49327,48352,47056,45480,44186,43672,43417,43304,43257,43239,43277,43391,,,,,,,,,
E12000007,London (total),female,13,44666,44516,44692,43565,44210,46745,47830,48701,49617,51111,52880,52606,52808,52931,52692,51396,49498,49985,50225,49900,49311,48336,47049,45491,44201,43682,43423,43305,43254,43236,43273,,,,,,,,,
E12000007,London (total),female,14,45292,44851,44655,44832,43719,44189,46782,47833,48518,49517,50775,52923,52564,52696,52763,52551,51286,49425,49911,50138,49801,49208,48239,46962,45407,44127,43608,43347,43227,43177,43158,,,,,,,,,
E12000007,London (total),female,15,44744,45523,45031,45019,45190,44153,44379,47102,48083,48611,49342,51022,53126,52747,52872,52960,52775,51529,49697,50159,50375,50030,49433,48464,47178,45625,44354,43835,43574,43455,43405,,,,,,,,,
E12000007,London (total),female,16,44957,44830,45738,45610,45472,45600,44547,44779,47359,48188,48433,49639,51297,53382,53009,53159,53266,53103,51873,50044,50487,50695,50342,49742,48756,47462,45912,44650,44134,43876,43758,,,,,,,,,
E12000007,London (total),female,17,45670,45158,45015,46184,46286,46123,45962,45345,45184,47766,47916,48829,50027,51674,53749,53405,53586,53717,53586,52341,50529,50947,51149,50785,50159,49154,47857,46314,45072,44564,44313,,,,,,,,,
E12000007,London (total),female,18,46682,46373,45612,45850,46928,46894,46049,45955,45439,45424,46766,48243,49013,50106,51616,53661,53368,53602,53770,53646,52391,50639,51010,51205,50776,50115,49093,47808,46305,45128,44647,,,,,,,,,
E12000007,London (total),female,19,47416,46218,45607,44815,45475,45731,44062,42757,42457,42498,40844,45731,46274,46197,46577,48008,49846,49713,50080,50196,50134,48925,47453,47646,47735,47131,46405,45386,44210,42918,42006,,,,,,,,,
E12000007,London (total),female,20,50388,48972,47963,47591,47373,47547,47242,45755,44568,43966,40473,42261,46672,47323,47484,48260,49738,51631,51574,51941,52068,52098,50863,49492,49485,49501,48752,47942,46847,45677,44420,,,,,,,,,
