gss_code,borough,sex,age,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,,,,,,,,,
E12000007,London (total),male,0,69426,66931,64995,63525,63141,64279,62771,62381,59531,58038,55470,54518,54376,54294,54135,54123,54208,54414,54767,55235,55740,56304,56943,57642,58368,59069,59736,60363,60914,61319,61591,,,,,,,,,
E12000007,London (total),male,1,64277,65685,65250,62730,61628,60682,61846,60782,61006,57865,56145,54709,53422,52957,52578,52471,52496,52608,52830,53133,53554,54020,54550,55154,55772,56425,57065,57682,58268,58792,59177,,,,,,,,,
E12000007,London (total),male,2,61261,62949,63855,63102,60641,59118,58999,60159,59064,58014,56196,55464,53712,52163,51439,51120,51050,51102,51231,51413,51679,52068,52505,53007,53539,54093,54691,55285,55864,56423,56925,,,,,,,,,
E12000007,London (total),male,3,60985,59993,61494,62478,60959,57969,57800,57930,58138,56478,56483,55568,54519,52534,50794,50136,49860,49817,49887,49983,50136,50379,50744,51160,51602,52081,52590,53149,53710,54266,54805,,,,,,,,,
E12000007,London (total),male,4,57138,59943,58860,60835,61131,59227,57365,57314,56974,56636,55277,56088,54925,53655,51525,49881,49271,49026,49000,49043,49117,49253,49480,49827,50193,50592,51035,51512,52043,52584,53121,,,,,,,,,
E12000007,London (total),male,5,52913,56106,58283,57735,59283,59423,58652,56954,55473,55155,55292,54578,55113,53736,52267,50221,48645,48068,47844,47797,47823,47884,48009,48224,48534,48867,49238,49657,50115,50630,51157,,,,,,,,,
E12000007,London (total),male,6,52018,52926,56045,58018,57453,58781,58704,58173,56175,54494,54426,55188,54323,54697,53218,51793,49812,48291,47739,47504,47445,47461,47515,47632,47818,48100,48412,48764,49167,49613,50116,,,,,,,,,
E12000007,London (total),male,7,49695,51801,52922,55826,57719,56951,57999,58226,57564,55311,53803,54350,54949,53958,54184,52760,51372,49450,47977,47423,47181,47114,47125,47172,47264,47426,47688,47982,48320,48713,49147,,,,,,,,,
E12000007,London (total),male,8,47868,49581,51766,52759,55632,57241,56424,57472,57714,56703,54636,53751,54145,54605,53513,53742,52364,51009,49139,47685,47131,46887,46817,46823,46848,46919,47065,47312,47593,47923,48306,,,,,,,,,
E12000007,London (total),male,9,45574,47781,49448,51691,52732,55260,56776,56112,57103,56840,56035,54564,53552,53816,54155,53102,53329,51989,50662,48812,47380,46830,46587,46514,46499,46506,46564,46698,46933,47207,47528,,,,,,,,,
